Movie ID,Genre IDs,Popularity
740441,[53],15.222
640028,[99],15.222
36645,"[35, 80, 28, 53]",15.221
11796,"[35, 18, 10749]",15.221
248058,"[10749, 18, 10770]",15.22
19025,"[35, 27, 53]",15.22
3640,"[10749, 35]",15.218
20932,"[10751, 14, 35, 10749]",15.216
45127,"[18, 10749]",15.215
15267,"[10752, 18]",15.215
505423,"[27, 9648, 53]",15.214
1375,[18],22.949
263132,[35],22.948
1213712,[35],22.936
458376,[],22.932
15775,"[14, 18, 10749]",22.931
1230393,"[16, 28, 14, 12]",22.93
10835,"[28, 80, 18, 53]",22.927
1588,[35],22.924
1391300,"[35, 18]",22.923
331576,"[28, 80, 53, 12]",22.923
986056,"[28, 12]",22.921
51540,"[35, 80]",22.906
239241,[28],22.905
106021,"[28, 53]",22.899
1247458,"[18, 80, 53]",22.894
16000,"[28, 10751, 878]",22.894
2133,"[28, 12, 18, 53]",22.894
2124,"[10749, 9648, 53]",22.889
571,"[27, 53]",22.88
23916,"[28, 18]",22.877
315162,"[16, 12, 14, 35, 10751]",153.853
673,"[12, 14]",153.612
597,"[18, 10749]",153.03
1216191,"[27, 9648]",151.195
335984,"[878, 18]",150.94
45890,"[18, 10770]",149.976
824003,"[80, 28]",149.965
345887,"[28, 53, 80]",149.848
1241748,[18],149.627
829560,"[10749, 18]",149.321
9479,"[14, 16, 10751]",148.885
22705,"[35, 18, 10749]",148.796
550,[18],147.899
447365,"[878, 12, 28]",147.767
827931,"[27, 878, 53]",147.606
1167271,"[28, 12, 53]",146.894
1215162,"[28, 80, 53]",146.891
1219685,"[18, 10770]",146.625
1226578,"[27, 53, 80]",146.483
1337309,"[28, 80, 18, 53]",146.341
34851,"[878, 28, 53]",56.442
930600,"[27, 53]",56.389
989662,"[35, 18]",56.369
37265,"[35, 18]",56.287
116745,"[12, 35, 18, 14]",56.285
404368,"[10751, 16, 35, 12]",56.261
677179,"[18, 28]",56.226
673593,[35],56.224
10510,"[14, 18, 10751]",56.211
157350,"[28, 12, 878]",56.202
527641,"[10749, 18]",56.201
158852,"[12, 10751, 9648, 878]",56.2
19404,"[35, 18, 10749]",56.199
73861,"[80, 27, 53]",56.191
454640,"[16, 28, 14, 12, 35]",56.17
49530,"[28, 53, 878]",56.17
829402,"[16, 878, 10751, 28]",56.15
1598,"[18, 80, 53]",56.133
920,"[16, 12, 35, 10751]",56.104
8920,"[16, 35, 10751]",56.083
984324,[28],72.961
346364,[27],72.92
339846,"[35, 28, 80]",72.703
755679,"[28, 80, 53]",72.693
561,"[14, 28, 27]",72.688
11224,"[10751, 14, 16, 10749]",72.679
